COUNTRY,COMP,YEAR,HEXP,HC3,DALE,SMALL,GINI,TROPICS,POPDEN,PUBTHE,GDPC,LCOMP,LDALE,LHEXP,LHC,LPOPDEN,WBNUMBER,STRATUM,GROUPTI,LGDPC,LHEXP2,LHC2,LHEXPHC,T93,T94,T95,T96,T97,TIME,GEFF,VOICE,COUNTRY,OECD,LGDPC2             
Cook Islands    ,76.46754,1997,344.0175,8.476601,63.43486,0,0.381411,1,81.0749969,76.7,4648.885,4.336866,4.150013,5.840693,2.13731,4.3953746,1,1,1,8.4443827,17.0568474,2.284047,12.4833716,0,0,0,0,1,5,0.1200317,0.5820076,1,0,71.3075989
Andorra         ,90.98447,1997,1213.599,7.32606,72.49335,0,0.285139,0,136.3152,86.7,16181.32,4.510689,4.283495,7.101346,1.991438,4.9149699,2,2,1,9.6916128,25.2145575,1.9829127,14.1418903,0,0,0,0,1,5,0.5103083,0.6158033,2,0,93.9273581
Afghanistan     ,52.12959,1997,28.28851,1.358772,37.62949,0,0.334725,0,38.88943,40.6,884.0158,3.953733,3.627788,3.342456,0.3065812,3.6607225,3,3,1,6.7844749,5.5860061,0.046996,1.0247342,0,0,0,0,1,5,-1.233,-1.616,3,0,46.0291002
Angola          ,52.28271,1997,47.17409,2.248598,37.92818,0,0.444238,1,936.0811,59.6,1310.391,3.956666,3.635695,3.853845,0.8103067,6.8417021,4,4,1,7.1780808,7.4260606,0.3282985,3.1227964,0,0,0,0,1,5,-1.39,-1.003,4,0,51.5248446
Albania         ,76.70827,1997,63.5321,4.88903,60.17352,0,0.441193,0,115.9557,77.7,1815.203,4.34001,4.097232,4.151546,1.586994,4.7532082,5,5,1,7.5039526,8.6176671,1.259275,6.5884786,0,0,0,0,1,5,-0.653,-0.008,5,0,56.3093044
United Arab Emir,81.618,1993,811.2903,4.696802,65.04469,0,0.3679,0,24.15357,32,19484.48,4.40205,4.175075,6.698626,1.546882,3.1844322,6,6,5,9.8773735,22.4357951,1.196422,10.361984,1,0,0,0,0,1,0.138,-0.545,6,0,97.5625079
United Arab Emir,81.84541,1994,809.0392,4.77231,65.28046,0,0.3679,0,24.15357,32,19484.48,4.404832,4.178693,6.695848,1.562831,3.1844322,6,6,5,9.8773735,22.4171902,1.2212204,10.4644788,0,1,0,0,0,2,0.138,-0.545,6,0,97.5625079
United Arab Emir,82.0729,1995,819.5784,4.832752,65.51619,0,0.3679,0,24.15357,32,19484.48,4.407608,4.182297,6.70879,1.575416,3.1844322,6,6,5,9.8773735,22.5039316,1.2409678,10.5691351,0,0,1,0,0,3,0.138,-0.545,6,0,97.5625079
United Arab Emir,82.30042,1996,840.0186,4.898788,65.75187,0,0.3679,0,24.15357,32,19484.48,4.410376,4.185888,6.733424,1.588988,3.1844322,6,6,5,9.8773735,22.6694994,1.2624414,10.6993299,0,0,0,1,0,4,0.138,-0.545,6,0,97.5625079
United Arab Emir,82.52799,1997,818.3483,4.976811,65.9875,0,0.3679,0,24.15357,32,19484.48,4.413137,4.189466,6.707288,1.604789,3.1844322,6,6,5,9.8773735,22.4938562,1.2876739,10.763782,0,0,0,0,1,5,0.138,-0.545,6,0,97.5625079
Argentina       ,80.76226,1993,750.9926,8.442671,65.93243,0,0.474325,0,1282.278,57.5,10009.35,4.39151,4.188631,6.621396,2.133299,7.1563935,7,7,5,9.2112749,21.9214425,2.2754823,14.1254175,1,0,0,0,0,1,0.262,0.482,7,0,84.8475859
Argentina       ,80.9625,1994,781.4294,8.549826,66.15524,0,0.474325,0,1282.278,57.5,10009.35,4.393986,4.192004,6.661125,2.145911,7.1563935,7,7,5,9.2112749,22.1852931,2.302467,14.2941814,0,1,0,0,0,2,0.262,0.482,7,0,84.8475859
Argentina       ,81.1626,1995,722.0181,8.658484,66.37806,0,0.474325,0,1282.278,57.5,10009.35,4.396454,4.195366,6.58205,2.15854,7.1563935,7,7,5,9.2112749,21.6616911,2.3296475,14.2076182,0,0,1,0,0,3,0.262,0.482,7,0,84.8475859
Argentina       ,81.36259,1996,793.498,8.715519,66.60092,0,0.474325,0,1282.278,57.5,10009.35,4.398916,4.198719,6.676451,2.165105,7.1563935,7,7,5,9.2112749,22.287499,2.3438398,14.4552174,0,0,0,1,0,4,0.262,0.482,7,0,84.8475859
Argentina       ,81.56245,1997,820.7665,8.771342,66.8238,0,0.474325,0,1282.278,57.5,10009.35,4.401369,4.202059,6.710239,2.17149,7.1563935,7,7,5,9.2112749,22.5136537,2.3576844,14.5712169,0,0,0,0,1,5,0.262,0.482,7,0,84.8475859
Armenia         ,75.57718,1993,88.66507,7.861154,65.33929,0,0.285139,0,124.1774,41.5,1935.348,4.325154,4.179594,4.484866,2.061933,4.8217112,8,8,5,7.5680424,10.0570115,2.1257838,9.2474932,1,0,0,0,0,1,-0.655,0.019,8,0,57.2752663
Armenia         ,75.65812,1994,31.71565,7.938704,65.45133,0,0.285139,0,124.1774,41.5,1935.348,4.326225,4.181307,3.45681,2.07175,4.8217112,8,8,5,7.5680424,5.9747677,2.146074,7.1616461,0,1,0,0,0,2,-0.655,0.019,8,0,57.2752663
Armenia         ,75.83604,1995,139.6542,8.014875,65.69872,0,0.285139,0,124.1774,41.5,1935.348,4.328574,4.18508,4.939169,2.081299,4.8217112,8,8,5,7.5680424,12.1976952,2.1659028,10.2798875,0,0,1,0,0,3,-0.655,0.019,8,0,57.2752663
Armenia         ,76.18544,1996,148.3161,8.089654,66.18866,0,0.285139,0,124.1774,41.5,1935.348,4.33317,4.192509,4.999346,2.090586,4.8217112,8,8,5,7.5680424,12.4967302,2.1852749,10.4515628,0,0,0,1,0,4,-0.655,0.019,8,0,57.2752663
Armenia         ,76.68425,1997,152.8925,8.163026,66.89745,0,0.285139,0,124.1774,41.5,1935.348,4.339696,4.203161,5.029735,2.099615,4.8217112,8,8,5,7.5680424,12.6491171,2.2041916,10.5605071,0,0,0,0,1,5,-0.655,0.019,8,0,57.2752663
Antigua and Barb,77.85439,1997,596.4537,7.194823,59.18565,0,0.474325,1,143.3607,57.3,9319.588,4.35484,4.080679,6.391002,1.973362,4.9653638,9,9,1,9.1398737,20.4224533,1.9470788,12.6117605,0,0,0,0,1,5,0.3968421,0.6356535,9,0,83.5372913
Australia       ,90.52848,1993,1500.579,10.42096,71.20222,0,0.341,0,224.562,72,20632.34,4.505664,4.265524,7.313606,2.343819,5.4141518,10,10,5,9.934615,26.7444164,2.7467438,17.1417687,1,0,0,0,0,1,1.459,1.628,10,1,98.6965757
